Year,Name,Sex,Count,IRE-Rank,USA-State-Total,Country,State
1964,Sean,M,171,38,0,Ireland,IRE
1964,Conor,M,97,56,0,Ireland,IRE
1964,Daniel,M,395,19,0,Ireland,IRE
1964,James,M,1554,5,0,Ireland,IRE
1964,Luke,M,26,105,0,Ireland,IRE
1964,Michael,M,2157,3,0,Ireland,IRE
1964,Thomas,M,1349,6,0,Ireland,IRE
1964,Matthew,M,89,59,0,Ireland,IRE
1964,David,M,936,7,0,Ireland,IRE
1964,Oisin,M,3,232,0,Ireland,IRE
1964,Patrick,M,2235,2,0,Ireland,IRE
1964,John,M,3696,1,0,Ireland,IRE
1964,Eoin,M,42,83,0,Ireland,IRE
1964,Shane,M,49,75,0,Ireland,IRE
1964,Liam,M,111,54,0,Ireland,IRE
1964,Mark,M,279,28,0,Ireland,IRE
1964,Joseph,M,737,11,0,Ireland,IRE
1964,Samuel,M,18,119,0,Ireland,IRE
1964,Cathal,M,32,96,0,Ireland,IRE
1964,Robert,M,342,22,0,Ireland,IRE
1964,Ciaran,M,124,49,0,Ireland,IRE
1964,Ronan,M,70,67,0,Ireland,IRE
1964,Andrew,M,195,34,0,Ireland,IRE
1964,Kevin,M,452,15,0,Ireland,IRE
1964,William,M,875,8,0,Ireland,IRE
1964,Rory,M,56,73,0,Ireland,IRE
1964,Brian,M,464,14,0,Ireland,IRE
1964,Eoghan,M,9,164,0,Ireland,IRE
1964,Cormac,M,39,87,0,Ireland,IRE
1964,Aidan,M,182,37,0,Ireland,IRE
1964,Alexander,M,19,116,0,Ireland,IRE
1964,Benjamin,M,13,139,0,Ireland,IRE
1964,Stephen,M,296,25,0,Ireland,IRE
1964,Christopher,M,289,27,0,Ireland,IRE
1964,Killian,M,5,204,0,Ireland,IRE
1964,Gavin,M,3,232,0,Ireland,IRE
1964,Alan,M,245,29,0,Ireland,IRE
1964,Peter,M,527,13,0,Ireland,IRE
1964,Anthony,M,613,12,0,Ireland,IRE
1964,Paul,M,1814,4,0,Ireland,IRE
1964,Martin,M,849,9,0,Ireland,IRE
1964,Niall,M,142,47,0,Ireland,IRE
1964,Oliver,M,69,68,0,Ireland,IRE
1964,Dara,M,10,155,0,Ireland,IRE
1964,Colm,M,144,45,0,Ireland,IRE
1964,Diarmuid,M,25,109,0,Ireland,IRE
1964,Edward,M,425,18,0,Ireland,IRE
1964,Louis,M,13,139,0,Ireland,IRE
1964,Padraig,M,38,88,0,Ireland,IRE
1964,Charles,M,145,43,0,Ireland,IRE
1964,Leo,M,28,101,0,Ireland,IRE
1964,Ross,M,6,191,0,Ireland,IRE
1964,Kieran,M,224,32,0,Ireland,IRE
1964,Tomas,M,7,181,0,Ireland,IRE
1964,Isaac,M,3,232,0,Ireland,IRE
1964,Senan,M,6,191,0,Ireland,IRE
1964,Jonathan,M,17,125,0,Ireland,IRE
1964,Daragh,M,7,181,0,Ireland,IRE
1964,Hugh,M,112,53,0,Ireland,IRE
1964,Colin,M,37,89,0,Ireland,IRE
1964,Craig,M,4,214,0,Ireland,IRE
1964,Lorcan,M,11,147,0,Ireland,IRE
1964,Richard,M,301,24,0,Ireland,IRE
1964,Owen,M,59,71,0,Ireland,IRE
1964,Daire,M,6,191,0,Ireland,IRE
1964,Denis,M,347,21,0,Ireland,IRE
1964,Philip,M,187,36,0,Ireland,IRE
1964,Tiernan,M,3,232,0,Ireland,IRE
1964,Simon,M,36,91,0,Ireland,IRE
1964,Gerard,M,815,10,0,Ireland,IRE
1964,Karl,M,40,86,0,Ireland,IRE
1964,Eric,M,34,94,0,Ireland,IRE
1964,George,M,115,52,0,Ireland,IRE
1964,Nicholas,M,92,58,0,Ireland,IRE
1964,Seamus,M,87,60,0,Ireland,IRE
1964,Brendan,M,426,17,0,Ireland,IRE
1964,Steven,M,3,232,0,Ireland,IRE
1964,Gearoid,M,9,164,0,Ireland,IRE
1964,Marcus,M,14,136,0,Ireland,IRE
1964,Keith,M,32,96,0,Ireland,IRE
1964,Adrian,M,75,65,0,Ireland,IRE
1964,Justin,M,13,139,0,Ireland,IRE
1964,Damien,M,49,75,0,Ireland,IRE
1964,Henry,M,87,60,0,Ireland,IRE
1964,Glen,M,3,232,0,Ireland,IRE
1964,Timothy,M,295,26,0,Ireland,IRE
1964,Barry,M,62,69,0,Ireland,IRE
1964,Bryan,M,8,175,0,Ireland,IRE
1964,Declan,M,321,23,0,Ireland,IRE
1964,Donal,M,144,45,0,Ireland,IRE
1964,Ian,M,86,62,0,Ireland,IRE
1964,Victor,M,18,119,0,Ireland,IRE
1964,Eamon,M,86,62,0,Ireland,IRE
1964,Gabriel,M,57,72,0,Ireland,IRE
1964,Gary,M,41,84,0,Ireland,IRE
1964,Ivan,M,11,147,0,Ireland,IRE
1964,Neil,M,43,82,0,Ireland,IRE
1964,Pierce,M,10,155,0,Ireland,IRE
1964,Enda,M,49,75,0,Ireland,IRE
1964,Morgan,M,10,155,0,Ireland,IRE
1964,Vincent,M,148,42,0,Ireland,IRE
1964,Arthur,M,31,98,0,Ireland,IRE
1964,Donagh,M,9,164,0,Ireland,IRE
1964,Noel,M,394,20,0,Ireland,IRE
1964,Bernard,M,201,33,0,Ireland,IRE
1964,Eamonn,M,83,64,0,Ireland,IRE
1964,Mathew,M,12,145,0,Ireland,IRE
1964,Raymond,M,237,30,0,Ireland,IRE
1964,Conal,M,5,204,0,Ireland,IRE
1964,Dominic,M,41,84,0,Ireland,IRE
1964,Fintan,M,29,100,0,Ireland,IRE
1964,Padraic,M,5,204,0,Ireland,IRE
1964,Felix,M,9,164,0,Ireland,IRE
1964,Francis,M,429,16,0,Ireland,IRE
1964,Frank,M,9,164,0,Ireland,IRE
1964,Wayne,M,3,232,0,Ireland,IRE
1964,Carl,M,11,147,0,Ireland,IRE
1964,Derek,M,237,30,0,Ireland,IRE
1964,Myles,M,25,109,0,Ireland,IRE
1964,Desmond,M,145,43,0,Ireland,IRE
1964,Roy,M,7,181,0,Ireland,IRE
1964,Dermot,M,195,34,0,Ireland,IRE
1964,Glenn,M,8,175,0,Ireland,IRE
1964,Kenneth,M,150,41,0,Ireland,IRE
1964,Laurence,M,141,48,0,Ireland,IRE
1964,Marco,M,4,214,0,Ireland,IRE
1964,Ultan,M,7,181,0,Ireland,IRE
1964,Warren,M,4,214,0,Ireland,IRE
1964,Austin,M,20,114,0,Ireland,IRE
1964,Graham,M,16,129,0,Ireland,IRE
1964,Jeremiah,M,161,39,0,Ireland,IRE
1964,Gregory,M,47,78,0,Ireland,IRE
1964,Mario,M,3,232,0,Ireland,IRE
1964,Fergal,M,35,93,0,Ireland,IRE
1964,Hubert,M,17,125,0,Ireland,IRE
1964,Malachy,M,16,129,0,Ireland,IRE
1964,Aiden,M,34,94,0,Ireland,IRE
1964,Albert,M,28,101,0,Ireland,IRE
1964,Daryl,M,3,232,0,Ireland,IRE
1964,Edwin,M,4,214,0,Ireland,IRE
1964,Frederick,M,26,105,0,Ireland,IRE
1964,Maurice,M,120,51,0,Ireland,IRE
1964,Cornelius,M,161,39,0,Ireland,IRE
1964,Eugene,M,123,50,0,Ireland,IRE
1964,Finian,M,10,155,0,Ireland,IRE
1964,Gareth,M,4,214,0,Ireland,IRE
1964,Julian,M,6,191,0,Ireland,IRE
1964,Theodore,M,4,214,0,Ireland,IRE
1964,Trevor,M,28,101,0,Ireland,IRE
1964,Damian,M,56,73,0,Ireland,IRE
1964,Dennis,M,6,191,0,Ireland,IRE
1964,Jeffrey,M,8,175,0,Ireland,IRE
1964,Leonard,M,17,125,0,Ireland,IRE
1964,Phillip,M,14,136,0,Ireland,IRE
1964,Stuart,M,9,164,0,Ireland,IRE
1964,Colum,M,18,119,0,Ireland,IRE
1964,Conrad,M,7,181,0,Ireland,IRE
1964,Dominick,M,24,111,0,Ireland,IRE
1964,Edmund,M,26,105,0,Ireland,IRE
1964,Russell,M,4,214,0,Ireland,IRE
1964,Seosamh,M,4,214,0,Ireland,IRE
1964,Terence,M,102,55,0,Ireland,IRE
1964,Allan,M,11,147,0,Ireland,IRE
1964,Felim,M,3,232,0,Ireland,IRE
1964,Fergus,M,71,66,0,Ireland,IRE
1964,Finbarr,M,61,70,0,Ireland,IRE
1964,Gordon,M,16,129,0,Ireland,IRE
1964,Jarlath,M,13,139,0,Ireland,IRE
1964,Jerome,M,18,119,0,Ireland,IRE
1964,Kyran,M,3,232,0,Ireland,IRE
1964,Lawrence,M,18,119,0,Ireland,IRE
1964,Neal,M,5,204,0,Ireland,IRE
1964,Phelim,M,9,164,0,Ireland,IRE
1964,Ronald,M,37,89,0,Ireland,IRE
1964,Alfred,M,15,134,0,Ireland,IRE
1964,Allen,M,9,164,0,Ireland,IRE
1964,Angus,M,3,232,0,Ireland,IRE
1964,Colman,M,17,125,0,Ireland,IRE
1964,Ernest,M,7,181,0,Ireland,IRE
1964,Fearghal,M,3,232,0,Ireland,IRE
1964,Garry,M,20,114,0,Ireland,IRE
1964,Gerald,M,94,57,0,Ireland,IRE
