Year,Names,Sex,Count,Ranks
2016,Jack,M,684.0,2.0
2016,Sean,M,501.0,5.0
2016,Conor,M,558.0,3.0
2016,Daniel,M,558.0,3.0
2016,James,M,688.0,1.0
2016,Adam,M,400.0,7.0
2016,Ryan,M,318.0,19.0
2016,Luke,M,375.0,10.0
2016,Cian,M,344.0,13.0
2016,Michael,M,394.0,9.0
2016,Dylan,M,286.0,23.0
2016,Aaron,M,271.0,24.0
2016,Darragh,M,322.0,16.0
2016,Thomas,M,328.0,15.0
2016,Matthew,M,247.0,29.0
2016,David,M,253.0,27.0
2016,Jamie,M,267.0,26.0
2016,Oisin,M,398.0,8.0
2016,Patrick,M,319.0,18.0
2016,Alex,M,320.0,17.0
2016,John,M,269.0,25.0
2016,Cillian,M,298.0,22.0
2016,Evan,M,216.0,34.0
2016,Eoin,M,135.0,55.0
2016,Shane,M,119.0,64.0
2016,Liam,M,333.0,14.0
2016,Ben,M,250.0,28.0
2016,Jake,M,225.0,33.0
2016,Joshua,M,179.0,44.0
2016,Mark,M,98.0,72.0
2016,Harry,M,374.0,11.0
2016,Fionn,M,308.0,21.0
2016,Joseph,M,153.0,51.0
2016,Callum,M,162.0,48.0
2016,Samuel,M,193.0,38.0
2016,Charlie,M,369.0,12.0
2016,Nathan,M,192.0,39.0
2016,Cathal,M,116.0,65.0
2016,Kyle,M,191.0,40.0
2016,Robert,M,132.0,56.0
2016,Ciaran,M,81.0,90.0
2016,Ronan,M,99.0,71.0
2016,Andrew,M,98.0,72.0
2016,Kevin,M,87.0,81.0
2016,William,M,155.0,50.0
2016,Ethan,M,190.0,41.0
2016,Tadhg,M,228.0,32.0
2016,Rory,M,97.0,74.0
2016,Noah,M,446.0,6.0
2016,Calum,M,25.0,218.0
2016,Brian,M,44.0,146.0
2016,Eoghan,M,101.0,68.0
2016,Cormac,M,85.0,83.0
2016,Finn,M,314.0,20.0
2016,Aidan,M,152.0,52.0
2016,Alexander,M,160.0,49.0
2016,Benjamin,M,128.0,58.0
2016,Rian,M,231.0,31.0
2016,Sam,M,190.0,41.0
2016,Stephen,M,50.0,131.0
2016,Christopher,M,77.0,93.0
2016,Killian,M,83.0,87.0
2016,Josh,M,88.0,78.0
2016,Gavin,M,27.0,209.0
2016,Alan,M,60.0,114.0
2016,Peter,M,68.0,102.0
2016,Scott,M,103.0,67.0
2016,Jason,M,71.0,98.0
2016,Max,M,214.0,35.0
2016,Lee,M,36.0,166.0
2016,Anthony,M,84.0,86.0
2016,Paul,M,35.0,168.0
2016,Martin,M,83.0,87.0
2016,Tom,M,197.0,36.0
2016,Leon,M,128.0,58.0
2016,Niall,M,53.0,125.0
2016,Oliver,M,244.0,30.0
2016,Rhys,M,61.0,113.0
2016,Dean,M,27.0,209.0
2016,Dara,M,71.0,98.0
2016,Oscar,M,172.0,46.0
2016,Colm,M,33.0,177.0
2016,Diarmuid,M,38.0,162.0
2016,Edward,M,81.0,90.0
2016,Jayden,M,125.0,62.0
2016,Christian,M,42.0,149.0
2016,Louis,M,88.0,78.0
2016,Oran,M,54.0,123.0
2016,Padraig,M,52.0,128.0
2016,Charles,M,49.0,134.0
2016,Leo,M,179.0,44.0
2016,Lucas,M,123.0,63.0
2016,Ross,M,39.0,159.0
2016,Cameron,M,26.0,214.0
2016,Jacob,M,195.0,37.0
2016,Kieran,M,30.0,190.0
2016,Brandon,M,20.0,245.0
2016,Ruairi,M,54.0,123.0
2016,Reece,M,35.0,168.0
2016,Tomas,M,85.0,83.0
2016,Isaac,M,71.0,98.0
2016,Kian,M,43.0,147.0
2016,Senan,M,128.0,58.0
2016,Odhran,M,128.0,58.0
2016,Jakub,M,64.0,106.0
2016,Jonathan,M,35.0,168.0
2016,Zach,M,74.0,97.0
2016,Bobby,M,165.0,47.0
2016,Daragh,M,31.0,184.0
2016,Kacper,M,47.0,140.0
2016,Hugh,M,57.0,119.0
2016,Colin,M,16.0,283.0
2016,Craig,M,12.0,345.0
2016,Lorcan,M,75.0,96.0
2016,Richard,M,41.0,150.0
2016,Owen,M,25.0,218.0
2016,Connor,M,16.0,283.0
2016,Donnacha,M,101.0,68.0
2016,Micheal,M,48.0,136.0
2016,Billy,M,91.0,77.0
2016,Tristan,M,30.0,190.0
2016,Darren,M,27.0,209.0
2016,Corey,M,34.0,173.0
2016,Daire,M,59.0,116.0
2016,Denis,M,45.0,145.0
2016,Luca,M,77.0,93.0
2016,Patryk,M,19.0,254.0
2016,Tyler,M,94.0,75.0
2016,Philip,M,39.0,159.0
2016,Daithi,M,87.0,81.0
2016,Tiernan,M,47.0,140.0
2016,Sebastian,M,71.0,98.0
2016,Simon,M,29.0,196.0
2016,Danny,M,100.0,70.0
2016,Filip,M,64.0,106.0
2016,Gerard,M,27.0,209.0
2016,Karl,M,8.0,412.0
2016,Shay,M,88.0,78.0
2016,Eric,M,46.0,142.0
2016,George,M,77.0,93.0
2016,Calvin,M,36.0,166.0
2016,Keelan,M,29.0,196.0
2016,Nicholas,M,53.0,125.0
2016,Seamus,M,50.0,131.0
2016,Brendan,M,20.0,245.0
2016,Dawid,M,24.0,224.0
2016,Shaun,M,9.0,389.0
2016,Steven,M,14.0,313.0
2016,Gearoid,M,40.0,156.0
2016,Joe,M,58.0,117.0
2016,Tommy,M,110.0,66.0
2016,Cody,M,50.0,131.0
2016,Jay,M,21.0,237.0
2016,Tadgh,M,63.0,110.0
2016,Ewan,M,14.0,313.0
2016,Paddy,M,39.0,159.0
2016,Lewis,M,38.0,162.0
2016,Caleb,M,57.0,119.0
2016,Marcus,M,29.0,196.0
2016,Caolan,M,33.0,177.0
2016,Taylor,M,6.0,491.0
2016,Keith,M,7.0,448.0
2016,Adrian,M,40.0,156.0
2016,Bradley,M,18.0,263.0
2016,Oskar,M,37.0,165.0
2016,Conall,M,48.0,136.0
2016,Dillon,M,17.0,272.0
2016,Eanna,M,53.0,125.0
2016,Justin,M,14.0,313.0
2016,Marc,M,14.0,313.0
2016,Damien,M,8.0,412.0
2016,Mateusz,M,16.0,283.0
2016,Muhammad,M,85.0,83.0
2016,Henry,M,94.0,75.0
2016,Glen,M,6.0,491.0
2016,Szymon,M,19.0,254.0
2016,Zack,M,41.0,150.0
2016,Reuben,M,41.0,150.0
2016,Timothy,M,31.0,184.0
2016,Jan,M,33.0,177.0
2016,Barry,M,12.0,345.0
2016,Blake,M,65.0,105.0
2016,Bryan,M,4.0,601.0
2016,Lennon,M,17.0,272.0
2016,Tiarnan,M,31.0,184.0
2016,Declan,M,20.0,245.0
2016,Emmet,M,16.0,283.0
2016,Hayden,M,14.0,313.0
2016,Jordan,M,25.0,218.0
2016,Donal,M,30.0,190.0
2016,Ian,M,13.0,329.0
2016,Jude,M,34.0,173.0
2016,Riain,M,8.0,412.0
2016,Victor,M,26.0,214.0
2016,Alfie,M,149.0,54.0
2016,Dominik,M,34.0,173.0
2016,Eamon,M,13.0,329.0
2016,Fiachra,M,17.0,272.0
2016,Gabriel,M,38.0,162.0
2016,Logan,M,131.0,57.0
2016,Donncha,M,13.0,329.0
2016,Elliot,M,49.0,134.0
2016,Gary,M,10.0,372.0
2016,Ivan,M,14.0,313.0
2016,Joey,M,48.0,136.0
2016,Kai,M,79.0,92.0
2016,Mikolaj,M,22.0,232.0
2016,Neil,M,6.0,491.0
2016,Pierce,M,8.0,412.0
2016,Enda,M,3.0,713.0
2016,Hugo,M,82.0,89.0
2016,Jesse,M,25.0,218.0
2016,Lukas,M,29.0,196.0
2016,Morgan,M,13.0,329.0
2016,Vincent,M,19.0,254.0
2016,Luka,M,8.0,412.0
2016,Shayne,M,,
2016,Troy,M,11.0,353.0
2016,Zachary,M,28.0,201.0
2016,Arthur,M,64.0,106.0
2016,Donagh,M,35.0,168.0
2016,Noel,M,17.0,272.0
2016,Shea,M,41.0,150.0
2016,Theo,M,64.0,106.0
2016,Toby,M,20.0,245.0
